Area	Rooms	Rent
53 - 115 m²	2 - 4 Zi.	1.645 - 2.942 €
64.62 m²	3 Zi.	1.357,02 €
90.62 m²	3 Zi.	1.721,78 €
78.24 m²	3 Zi.	1.760,40 €
37.41 - 100.85 m²	1 - 3 Zi.	895 - 1.795 €
45.43 m²	1 Zi.	995 €
51.86 m²	2 Zi.	1.135 €
40 - 136 m²	1 - 3 Zi.	1.200 - 3.323 €
45.64 m²	2 Zi.	1.118 €
52.07 m²	2 Zi.	1.275 €
57.25 m²	2 Zi.	1.374 €
60 - 130 m²	1 - 3 Zi.	auf Anfrage
40.4 - 120.4 m²	1 - 3 Zi.	595 - 1.475 €
66.57 m²	2.5 Zi.	408,85 €
87.12 m²	3 Zi.	535,05 €
56.62 m²	2 Zi.	668,12 €
114.4 m²	3 Zi.	2.200 €
59.33 m²	2 Zi.	428,96 €
43 m²	1.5 Zi.	699 €
95 m²	3 Zi.	2.600 €
65 m²	2 Zi.	1.199 €
52 m²	2 Zi.	899 €
164 m²	3 Zi.	3.300 €
56 m²	2 Zi.	1.120 €
60 m²	2.5 Zi.	1.200 €
35 m²	2 Zi.	1.180 €
51.84 m²	2 Zi.	1.080 €
33 m²	1 Zi.	800 €
125 m²	4.5 Zi.	2.200 €
63 m²	2 Zi.	963 €
79 m²	3 Zi.	1.220 €
160 m²	5 Zi.	2.950 €
160 m²	5.5 Zi.	2.160 €
54 m²	2 Zi.	745 €
57 m²	2 Zi.	1.500 €
140 m²	5 Zi.	2.700 €
39 m²	1 Zi.	583 €
64 m²	2 Zi.	2.300 €
57.57 m²	2 Zi.	1.010 €
111 m²	3.5 Zi.	2.250 €
72 m²	2 Zi.	969 €
35 m²	1 Zi.	465 €
83.5 m²	3 Zi.	1.900 €
80 m²	3 Zi.	1.598 €
99 m²	3 Zi.	2.360 €
125 m²	4.5 Zi.	2.500 €
68 m²	2.5 Zi.	1.500 €
83.82 m²	3 Zi.	1.253 €
15 m²	1 Zi.	250 €
66 m²	2 Zi.	900 €
